Datum,Preis,Vorhersage_RF
2022-01-06,169.4141082763672,Halten
2022-01-07,169.58155822753906,Halten
2022-01-13,169.6012420654297,Halten
2022-01-14,170.46803283691406,Halten
2022-01-20,162.03671264648438,Halten
2022-01-21,159.96832275390625,Halten
2022-01-28,167.76922607421875,Verkauf
2022-02-03,170.3005828857422,Kauf
2022-02-04,170.01455688476562,Halten
2022-02-10,169.74832153320312,Halten
2022-02-11,166.31622314453125,Halten
2022-02-17,166.55296325683594,Halten
2022-02-18,164.99473571777344,Halten
2022-02-24,160.49757385253906,Verkauf
2022-02-25,162.57846069335938,Verkauf
2022-03-04,160.92160034179688,Halten
2022-03-10,156.335693359375,Halten
2022-03-11,152.59791564941406,Halten
2022-03-17,158.40675354003906,Halten
2022-03-18,161.72047424316406,Halten
2022-03-24,171.6714324951172,Halten
2022-03-25,172.31246948242188,Halten
2022-03-31,172.20399475097656,Halten
2022-04-01,171.90811157226562,Halten
2022-04-07,169.76800537109375,Halten
2022-04-08,167.74624633789062,Halten
2022-04-14,163.01242065429688,Halten
2022-04-21,164.12684631347656,Halten
2022-04-22,159.56060791015625,Halten
2022-04-28,161.38514709472656,Halten
2022-04-29,155.4776611328125,Halten
2022-05-05,154.6098175048828,Halten
2022-05-06,155.34066772460938,Halten
2022-05-12,140.8022003173828,Halten
2022-05-13,145.29608154296875,Verkauf
2022-05-19,135.65643310546875,Halten
2022-05-20,135.89346313476562,Verkauf
2022-05-26,142.0071258544922,Halten
2022-05-27,147.79489135742188,Kauf
2022-06-02,149.34552001953125,Kauf
2022-06-03,143.58741760253906,Halten
2022-06-10,135.43914794921875,Halten
2022-06-16,128.456298828125,Verkauf
2022-06-17,129.9377899169922,Verkauf
2022-06-23,136.56509399414062,Halten
2022-06-24,139.91329956054688,Kauf
2022-07-01,137.21693420410156,Halten
2022-07-07,144.54547119140625,Halten
2022-07-08,145.22691345214844,Halten
2022-07-15,148.318359375,Halten
2022-07-21,153.43450927734375,Halten
2022-07-22,152.1900177001953,Halten
2022-07-28,155.40982055664062,Halten
2022-07-29,160.5061798095703,Halten
2022-08-04,163.7655029296875,Kauf
2022-08-05,163.5380401611328,Halten
2022-08-11,166.64361572265625,Halten
2022-08-12,170.2140655517578,Halten
2022-08-18,172.24159240722656,Halten
2022-08-19,169.64039611816406,Halten
2022-08-25,168.166748046875,Halten
2022-08-26,161.8269805908203,Halten
2022-09-01,156.22903442382812,Verkauf
2022-09-02,154.1025390625,Verkauf
2022-09-08,152.7673797607422,Halten
2022-09-09,155.64544677734375,Halten
2022-09-16,149.04856872558594,Halten
2022-09-22,151.06622314453125,Halten
2022-09-23,148.7815399169922,Halten
2022-09-29,140.91860961914062,Halten
2022-09-30,136.685546875,Halten
2022-10-06,143.8363037109375,Kauf
2022-10-07,138.55482482910156,Kauf
2022-10-13,141.42306518554688,Halten
2022-10-14,136.8635711669922,Halten
2022-10-20,141.81866455078125,Halten
2022-10-21,145.65615844726562,Halten
2022-10-27,143.21322631835938,Halten
2022-10-28,154.03334045410156,Halten
2022-11-03,137.3581085205078,Halten
2022-11-04,137.0906219482422,Halten
2022-11-10,145.50149536132812,Verkauf
2022-11-11,148.3051300048828,Kauf
2022-11-17,149.3156280517578,Halten
2022-11-18,149.88031005859375,Halten
2022-12-01,146.92808532714844,Halten
2022-12-02,146.43275451660156,Halten
2022-12-08,141.32083129882812,Halten
2022-12-09,140.83541870117188,Halten
2022-12-15,135.22813415527344,Halten
2022-12-16,133.2566680908203,Halten
2022-12-22,130.99789428710938,Halten
2022-12-23,130.63136291503906,Halten
2022-12-29,128.40234375,Verkauf
2022-12-30,128.71932983398438,Verkauf
